Kreiskennziffer,Stadt/Landkreis,Metropole_x,durchschn. Kaufpreis 1. HJ 2025,Angebote 1. HJ 2025,Preisentwicklung,Angebotsentwicklung,Durchschnittliche Entfernung zur Autobahn,Durchschnittliche Entfernung zum Zugverkehr,Durchschnittliche Entfernung zum Supermarkt,Anteil Pendler,Kindergärten und Grundschulen je 100.000 Einwohner,Entwicklung der Einwohnerzahl von 2012 bis 2023 in %
09173,Bad Tölz-Wolfratshausen,München,5689,391.0,0.067154380041268,-0.0555555555555556,12.55,4.37,2.15,16.863591469437026,75.39060256034179,7.560664324073452
12060,Barnim,Berlin,3317,535.0,-0.028696925329429,-0.256944444444444,6.81,2.96,2.58,41.13460730518034,62.16006216006216,11.307038968087625
11000,Berlin,Berlin,5527,13095.0,0.00857664233576649,-0.259960440802487,4.47,1.84,0.59,2.9729445401024583,58.087854641290974,8.507855187006964
05314,Bonn,Köln,3860,948.0,0.0412732667925546,-0.213278008298755,2.36,2.4,0.72,13.774529852531503,91.42646125989833,3.8116107129141596
15084,Burgenlandkreis,Leipzig,1207,353.0,-0.00984413453650535,-0.386086956521739,13.39,3.87,3.45,1.5010337307768558,60.39260839626582,-5.838317721852315
08115,Böblingen,Stuttgart,3982,1973.0,0.000251193167545738,-0.193706579485084,4.97,2.46,1.21,20.035191554027033,89.8305765215995,7.367214221912377
09174,Dachau,München,5457,577.0,-0.0350132625994695,-0.0768,7.88,3.03,1.69,40.6261087911788,69.70274945663539,6.973616577830044
12061,Dahme-Spreewald,Berlin,3540,502.0,-0.00141043723554302,-0.290960451977401,7.02,4.42,3.36,35.17756357835186,67.51399942939881,10.821263270830993
06411,Darmstadt,Frankfurt,4304,414.0,0.0451675570665371,-0.245901639344262,4.26,1.71,0.66,14.914700173664317,61.278931187689665,11.429440594896057
06432,Darmstadt-Dieburg,Frankfurt,3375,800.0,0.0346413243408952,-0.312714776632302,10.43,3.06,1.95,11.60508645018977,61.278931187689665,6.2760844265205895
05112,Duisburg,Düsseldorf,2337,1162.0,0.0254497586660816,-0.220657276995305,1.98,2.83,0.88,12.704904658827623,38.11739761408914,3.362461381713011
05111,Düsseldorf,Düsseldorf,4818,2537.0,0.0168847615027439,-0.200944881889764,3.3,1.93,0.67,7.146404928350619,60.35959107565227,3.8129840554370853
05111,Düsseldorf,Köln,4818,2537.0,0.0168847615027439,-0.200944881889764,3.3,1.93,0.67,7.146404928350619,60.35959107565227,3.8129840554370853
09175,Ebersberg,München,5894,545.0,-0.000847601288353928,-0.184131736526946,8.79,2.62,1.57,37.12387651426338,77.25723270014029,9.159536222149288
08236,Enzkreis,Stuttgart,3103,665.0,0.0227422544495715,-0.250281848928974,9.01,3.98,2.59,6.480379812635008,81.2263353516896,4.053266143306322
09177,Erding,München,4950,355.0,0.0212502578914793,-0.207589285714286,8.59,5.46,2.45,22.09574325431709,72.96197558580047,8.775499068509385
05113,Essen,Düsseldorf,2765,1497.0,0.0553435114503817,-0.169256381798002,2.36,1.94,0.75,8.341937193344725,67.84769386029512,1.2736786025522973
08116,Esslingen,Stuttgart,3963,2028.0,0.0250905328504916,-0.271289974847287,7.0,3.01,1.43,22.554107075053793,80.70696338199198,5.397412781152111
06412,Frankfurt am Main,Frankfurt,6166,2201.0,0.063653613938244,-0.222810734463277,2.68,2.18,0.62,3.7083625057850456,61.278931187689665,8.98855003453165
09178,Freising,München,5255,529.0,0.0138915685896199,-0.206896551724138,5.7,5.11,1.85,24.310125532267875,81.06250939466167,10.373092142453366
09179,Fürstenfeldbruck,München,5674,896.0,-0.00595655220742819,-0.23156089193825,6.74,2.12,1.36,40.34937028489822,71.7707641792116,5.710693295125591
06433,Groß-Gerau,Frankfurt,3605,772.0,0.00754611514812753,-0.313167259786477,4.02,2.32,1.93,23.86329991963795,53.95581302890896,5.114895854176238
